"","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode","kld"
"(Intercept)",0.423330646533694,1.49344807574113,0.19055311392489,0.424864874624988,0.921138538505004,0.427952013312002,1.00000139994018
"pct.af.am",1.00592674510093,1.01032194365793,0.98579695675796,1.00593340061214,1.02640526223658,1.00594716665606,1.0000008638797
"pct.hispanic",1.01243660660033,1.00737637062265,0.997907675303424,1.01244051882664,1.02714027242193,1.01244997161485,1.00000024703162
"pct.nh.pi",0.993408972361229,1.02717659929552,0.941684761067308,0.99367813032528,1.04634825677411,0.994211047988463,1.00000008118275
"pct.youth",9.35678345157127,3.74826410050996,0.696687194234783,9.36204011125933,124.962515904977,9.37430991597841,1.00000106552618
"median.property.value",1.00000050858344,1.00000072971116,0.999999002038495,1.00000053410655,1.00000187024,1.00000058504988,1.00000147388143
"pct.75000.0",0.183858426739251,6.21955412740585,0.00496287185063827,0.185294398962025,6.50271070418588,0.188259967463612,1.00000034791992
